timestamp,mac,rx_bytes,tx_bytes
2025-09-20T09:58:17Z,D4:CA:6D:9E:F8:A0,992096299,7928321072
2025-09-20T20:29:54Z,D4:CA:6D:9E:F8:A0,1606070689,16625926158
2025-09-21T06:59:19Z,D4:CA:6D:9E:F8:A0,1771610896,17898812829
2025-09-21T15:00:23Z,D4:CA:6D:9E:F8:A0,2718819388,23074502344
2025-09-21T19:21:05Z,D4:CA:6D:9E:F8:A0,2818347700,23681014503
2025-09-21T22:11:21Z,D4:CA:6D:9E:F8:A0,2895603927,24327557977
2025-09-22T06:29:40Z,D4:CA:6D:9E:F8:A0,2942804441,24430230624
2025-09-22T09:56:27Z,D4:CA:6D:9E:F8:A0,2953081918,24467445398
2025-09-22T13:28:37Z,D4:CA:6D:9E:F8:A0,2994850108,24512236306
2025-09-22T17:29:25Z,D4:CA:6D:9E:F8:A0,3033772384,24701799977
2025-09-23T06:59:17Z,D4:CA:6D:9E:F8:A0,3328360551,25380617397
2025-09-23T11:04:50Z,D4:CA:6D:9E:F8:A0,3563811560,26715684218
2025-09-23T12:22:03Z,D4:CA:6D:9E:F8:A0,3583958601,26758945402
2025-09-23T12:54:14Z,D4:CA:6D:9E:F8:A0,3594092079,26790077890
